"BehaviorSpace results (NetLogo 6.0.4)"
"BSS.nlogo"
"Status-based_45_timestep1min_rep10"
"11/23/2018 15:44:55:639 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-6","6","-6","6"
"[run number]","sim_timestep_minutes","num_trucks","duration_to_pick","duration_to_drop","truck_capacity","truck_speed","wait_for_demo?","rebalancing_method","wait_time","pct_station_capacity_to_drop","pct_station_capacity_to_pick","truck_movement","shortage_threshold","days_to_simulate","[step]","simulated_out_of_bikes_count","simulated_out_of_docks_count","sim_elapsed_hours"
"221","1","3","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","269","55","168"
"222","1","3","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","274","76","168"
"223","1","3","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","290","60","168"
"224","1","3","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","306","73","168"
"225","1","3","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","235","79","168"
"226","1","3","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","313","61","168"
"227","1","3","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","234","64","168"
"228","1","3","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","234","68","168"
"229","1","3","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","277","71","168"
"230","1","3","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","263","59","168"
"231","1","3","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","277","59","168"
"232","1","3","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","269","64","168"
"233","1","3","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","187","64","168"
